"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"905","Q8VDQ8",1,1,1,1,1,1,1,1,1,1,1,1,0.178697144625362,1,1,1,1,1,1.77358391516614,NA,NA,NA,NA,NA
"906","Q8VE22",1,1,1,1,1,1,1,1,1,1,1,1,0.766877171479895,1,1,1,1,1,0.820989965553392,NA,NA,NA,0.909401709401709,NA
"907","Q8VE33",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.25791742979243,NA,NA,NA,NA,NA
"908","Q8VE95",1,1,1,1,1,1,1,1,1,1,1,1,0.461866062111216,1,1,1,1,1,0.831622390233752,NA,NA,NA,NA,NA
"909","Q8VED5",1,1,1,1,1,1,1,1,1,1,1,0.656654493016423,0.954621067242005,1,1,1,0.303235183473213,0.0847377417619548,0.924113175591813,0.906059835201256,0.319033831914356,0.308268571179309,1.41399650123008,0.649762329412733
"910","Q8VEH3",1,1,1,0,1,1,1,1,1,0,0.865677020750048,1,0.901353084990411,1,1,0,0.111710978320743,0.671660221890096,0.928650748787116,1.65529308836395,NA,NA,0.677969368157241,1.06519225005259
"911","Q8VEK0",1,1,1,0,1,1,1,1,1,0,1,1,0.778089767594782,1,1,0,0.24541410313432,1,0.989490322222837,NA,0.435448392554992,0.789982605136605,0.788161051634102,1.06763243429408
"912","Q8VEK3",1,0,0,1,1,1,0.0501794577825944,0,0,1,1,1,0.00647538999665392,0,0,1,1,1,0.565458430029103,NA,NA,NA,NA,NA
"913","Q8VEM8",1,1,1,0,1,1,1,1,1,0,1,1,0.755687794208383,1,1,0,0.410727640587967,1,1.09761250441624,32.4083086053412,3.57388724035608,0.321501979801575,0.840183160452295,0.973841600809578
"914","Q8VHI6",1,1,1,1,1,1,1,1,1,1,1,1,0.705268297626792,1,1,1,1,1,1.01190330893361,NA,NA,NA,NA,NA
"915","Q8VHK5",1,1,1,1,1,1,1,1,1,1,1,1,0.873040966900564,1,1,1,1,1,1.07983820959468,NA,NA,NA,NA,NA
"916","Q8VIJ6",1,0,0,1,0,1,1,0,0,1,0,1,0.319217701155349,0,0,1,0,0.676887219499089,2.69613259668507,1.05383437654794,NA,NA,1.09106258851716,0.663640974136829
"917","Q91V12",1,1,0,0,1,1,0.271737562827732,1,0,0,1,1,0.0350662755997367,1,0,0,1,1,1.86888511051737,0.815037895899212,NA,NA,0.877007755090186,1.28504777545536
"918","Q91V14",1,1,1,1,1,1,0.604068253732021,1,1,1,1,1,0.0779517695161172,1,1,1,1,1,1.27335894072825,NA,NA,NA,NA,NA
"919","Q91V41",1,1,0,0,1,1,1,1,0,0,1,1,0.400019439282096,1,0,0,0.928361745935742,1,1.15520098189629,0.802880620441326,1.88200535499954,1.42316553794596,0.948920100702266,0.945226067715942
"920","Q91V61",1,1,1,0,1,1,1,1,1,0,0.877273967907846,1,0.66757048461285,1,1,0,0.113207502176036,0.285137574446451,1.08046169365148,NA,NA,NA,0.661630659213376,0.765625200817406
"921","Q91V92",1,0,0,1,0,1,1,0,0,1,0,1,0.20873576508941,0,0,1,0,1,1.54705799845711,0.570592780660117,NA,NA,1.44184941272319,0.964571054354951
"922","Q91VC3",1,1,1,1,1,1,1,1,1,1,1,1,0.181955080341965,1,1,1,1,1,0.761339533365969,NA,NA,NA,NA,NA
